ywp_id,ywp_year,ywp_name,actorID,bc_id,conflictID,bc_name,country1,locationid1,country2,locationid2,bwd_id,bwd_name,external_exists,external_alleged,external_name,ayuda_1,ayuda_2,ayuda_3,ayuda_4,ayuda_5,ayuda_6,ayuda_7,ayuda_8,ayuda_9,ayuda_10,ayuda_11,ayuda_12,ayuda_13,ayuda_14,ayuda_15,ayuda_16,ayuda_17,ayuda_18,ayuda_19,ayuda_20,ayuda_21,ayuda_22,ayuda_23,ayuda_24,ayuda_25,ayuda_26,ayuda_27,ayuda_28,ayuda_29,ayuda_30,ayuda_31,ayuda_32,ayuda_33,ayuda_34,ayuda_35,ayuda_36,ayuda_37,ayuda_38,ayuda_39,ayuda_40,ayuda_41,ayuda_42,ayuda_43,ayuda_44,ayuda_45,ayuda_46
6844,1980,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6847,1981,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6850,1982,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6853,1983,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6856,1984,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6859,1985,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6862,1986,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6865,1987,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6868,1988,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8918,1984,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; Saudi Arabia; China; Pakistan,United States:WM$, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8927,1985,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; United Kingdom; Saudi Arabia; China; Pakistan,United States:WM$, United Kingdom:W, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8938,1980,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; Egypt; Saudi Arabia; China; Pakistan,United States:WM$, Egypt:WMT, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8945,1981,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; Egypt; Saudi Arabia; China; Pakistan,United States:WM$, Egypt:WMT, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8954,1982,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; Saudi Arabia; China; Pakistan,United States:WM$, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8961,1983,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; Saudi Arabia; China; Pakistan,United States:WM$, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8968,1986,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; United Kingdom; Saudi Arabia; China; Pakistan,United States:WM$, United Kingdom:W, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8993,1987,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; United Kingdom; Saudi Arabia; China; Pakistan,United States:WM$, United Kingdom:W, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9057,1988,Harakat-i Inqilab-i Islami-yi Afghanistan ,1135,189,137,Afghanistan,Afghanistan,700,,,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,1,0,United States; United Kingdom; Saudi Arabia; China; Pakistan,United States:WM$, United Kingdom:W, Saudi Arabia:W$, China:W, Pakistan:MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6856,1984,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,737,Government of Afghanistan - Harakat-i Islami-yi Afghanistan,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6844,1980,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6847,1981,Government of Afghanistan,700,189,137,Afghanistan,Afghanistan,700,,,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,1,0,Soviet Union,Soviet Union:XWMT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
