ywp_id,ywp_year,ywp_name,actorID,bc_id,conflictID,bc_name,country1,locationid1,country2,locationid2,bwd_id,bwd_name,external_exists,external_alleged,external_1,external_2,external_3,external_4,external_5,external_6,external_7,external_8,external_9,external_10,external_11,external_12,external_13,external_14,external_15,external_16,external_17,external_18,external_19,external_20,external_21,external_22,external_23,external_24,external_25,external_26,external_27,external_28,external_29,external_30,external_31,external_32,external_33,external_34,external_35,external_36,external_37,external_38,external_39,external_40,external_41,external_42,external_43,external_44,external_45,external_46
3425,1995,Government of Egypt,651,23,196,Egypt,Egypt,651,,,241,Government of Egypt - al-Gama'a al-Islamiyya,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,1997,Government of Egypt,651,23,196,Egypt,Egypt,651,,,241,Government of Egypt - al-Gama'a al-Islamiyya,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6255,1980,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6253,1981,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,1982,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,1983,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6247,1984,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6245,1985,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243,1986,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6241,1987,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,1988,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365,1989,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080,1990,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4085,1991,FMLN,1616,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Soviet Union, Cuba, Vietnam, Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6256,1980,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6254,1981,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6252,1982,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,Venezuela, United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,1983,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6248,1984,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6246,1985,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6244,1986,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6242,1987,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6240,1988,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,1989,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4081,1990,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4084,1991,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,225,Government of El Salvador - FMLN,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6258,1979,FPL,1615,137,120,El Salvador,El Salvador,92,,,508,Government of El Salvador - FPL,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,1979,Government of El Salvador,92,137,120,El Salvador,El Salvador,92,,,508,Government of El Salvador - FPL,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6623,1981,Government of Gambia,420,285,149,Gambia,Gambia,420,,,547,Government of Gambia - NRC,1,0,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3587,1993,Government of Georgia,372,157,197,Georgia (Abkhazia),Georgia,372,,,259,Government of Georgia - Republic of Abkhazia,1,0,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3578,1992,Republic of Abkhazia,1185,157,197,Georgia (Abkhazia),Georgia,372,,,259,Government of Georgia - Republic of Abkhazia,1,0,CCMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,1993,Republic of Abkhazia,1185,157,197,Georgia (Abkhazia),Georgia,372,,,259,Government of Georgia - Republic of Abkhazia,1,0,Elements of The Russian/Soviet Military in Abkhazia, Krasnodar Krai, CCMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8376,2008,Republic of South Ossetia,1186,177,198,Georgia (South Ossetia),Georgia,372,,,297,Government of Georgia - Republic of South Ossetia,1,0,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8688,1975,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,625,Government of Guatemala - EGP,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8748,1976,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,625,Government of Guatemala - EGP,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8751,1977,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,625,Government of Guatemala - EGP,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8754,1978,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,625,Government of Guatemala - EGP,1,0,Argentina, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8757,1979,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,625,Government of Guatemala - EGP,1,0,Argentina, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8760,1980,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,625,Government of Guatemala - EGP,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8765,1981,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,625,Government of Guatemala - EGP,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8765,1981,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,624,Government of Guatemala - FAR I,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8688,1975,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,694,Government of Guatemala - FAR II,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8748,1976,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,694,Government of Guatemala - FAR II,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8751,1977,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,694,Government of Guatemala - FAR II,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8754,1978,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,694,Government of Guatemala - FAR II,1,0,Argentina, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8757,1979,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,694,Government of Guatemala - FAR II,1,0,Argentina, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8760,1980,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,694,Government of Guatemala - FAR II,1,0,Argentina, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8765,1981,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,694,Government of Guatemala - FAR II,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8757,1979,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,627,Government of Guatemala - ORPA,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8760,1980,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,627,Government of Guatemala - ORPA,1,0,Argentina, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8765,1981,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,627,Government of Guatemala - ORPA,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8770,1982,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,Argentina, United States, Dominican Republic, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8772,1983,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,Argentina, United States, Israel, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8774,1984,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8776,1985,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8778,1986,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8780,1987,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8782,1988,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,1989,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083,1990,Government of Guatemala,90,139,36,Guatemala,Guatemala,90,,,228,Government of Guatemala - URNG,1,0,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309,2000,RFDG,1309,36,111,Guinea,Guinea,438,,,57,Government of Guinea - RFDG,1,0,RUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310,2001,RFDG,1309,36,111,Guinea,Guinea,438,,,57,Government of Guinea - RFDG,1,0,RUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,1998,Government of Guinea Bissau,404,37,216,Guinea Bissau,Guinea-Bissau,404,,,58,"Government of Guinea Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice",1,0,Senegal, Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322,1999,Government of Guinea Bissau,404,37,216,Guinea Bissau,Guinea-Bissau,404,,,58,"Government of Guinea Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice",1,0,Senegal, Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,1998,"Military Junta for the Consolidation of Democracy, Peace and Justice",1402,37,216,Guinea Bissau,Guinea-Bissau,404,,,58,"Government of Guinea Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice",1,0,MFDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2336,1999,"Military Junta for the Consolidation of Democracy, Peace and Justice",1402,37,216,Guinea Bissau,Guinea-Bissau,404,,,58,"Government of Guinea Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice",1,0,MFDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3648,1997,ATTF,1149,160,139,India (Tripura),India,750,,,262,Government of India - ATTF,1,0,NSCN-K, PLA, UNLF, PREPAK, ULFA, NLFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657,1998,ATTF,1149,160,139,India (Tripura),India,750,,,262,Government of India - ATTF,1,0,NSCN-K, PLA, UNLF, PREPAK, ULFA, NLFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3665,1999,ATTF,1149,160,139,India (Tripura),India,750,,,262,Government of India - ATTF,1,0,NSCN-K, PLA, UNLF, PREPAK, ULFA, NLFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5432,2005,CPI-M,1037,209,29,India,India,750,,,451,Government of India - CPI-M,1,0,CPN-M, ULFA, CCOMPOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,2006,CPI-M,1037,209,29,India,India,750,,,451,Government of India - CPI-M,1,0,CCOMPOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8303,2008,CPI-M,1037,209,29,India,India,750,,,451,Government of India - CPI-M,1,0,PLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4438,1989,Kashmir insurgents,1168,206,169,India (Kashmir),India,750,,,355,Government of India - Kashmir insurgents,-1,0,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
